customer_id,signup_date,customer_region,customer_country,segment
138,2023-01-31,EU,France,VIP
139,2023-12-05,APAC,Australia,Returning
140,2024-03-01,NA,Mexico,New
141,2025-08-15,EU,France,Returning
142,2023-07-29,EU,Sweden,New
143,2023-09-27,EU,Poland,Returning
144,2024-02-02,EU,Germany,New
145,2025-08-24,NA,United States,New
146,2025-04-11,EU,Netherlands,Returning
147,2023-02-03,EU,France,Returning
148,2023-08-16,EU,Spain,Returning
149,2025-03-11,EU,Germany,VIP
150,2023-02-26,APAC,Australia,Returning
151,2025-04-13,APAC,India,New
152,2023-10-02,NA,Canada,Returning
153,2025-06-12,APAC,India,New
154,2023-10-13,APAC,Japan,New
155,2024-02-28,EU,Spain,New
156,2024-10-06,NA,Canada,Returning
157,2023-05-03,EU,Netherlands,New
158,2024-06-26,NA,Mexico,Returning
159,2024-05-06,EU,Sweden,Returning
160,2025-02-02,APAC,Singapore,Returning
161,2025-08-28,APAC,Australia,New
162,2024-10-09,EU,Netherlands,Returning
163,2024-02-03,EU,Germany,New
164,2024-01-31,APAC,Japan,New
165,2024-02-12,NA,Canada,New
166,2025-03-03,EU,Sweden,New
167,2023-11-09,APAC,Singapore,New
168,2023-06-12,NA,Mexico,Returning
169,2023-11-22,APAC,India,New
170,2023-01-23,EU,Spain,Returning
171,2023-04-14,EU,Spain,New
172,2023-03-29,EU,Germany,VIP
173,2025-01-21,NA,United States,New
174,2024-12-04,EU,Italy,New
175,2024-11-09,EU,Germany,New
176,2024-03-25,APAC,India,New
177,2024-11-29,EU,Sweden,New
178,2023-06-07,APAC,India,Returning
179,2025-05-27,NA,Mexico,New
180,2024-05-03,NA,Mexico,New
181,2025-07-02,APAC,India,Returning
182,2023-05-29,NA,United States,Returning
183,2024-04-29,EU,Sweden,Returning
184,2024-11-09,NA,United States,New
185,2024-04-27,APAC,South Korea,Returning
186,2024-03-10,APAC,South Korea,New
187,2023-06-11,NA,United States,New
188,2024-01-07,APAC,Singapore,Returning
189,2023-08-21,EU,Spain,Returning
190,2023-10-21,EU,Germany,New
191,2024-10-27,NA,United States,Returning
192,2024-09-05,APAC,India,VIP
193,2024-08-14,EU,Spain,Returning
194,2023-12-19,NA,Mexico,Returning
195,2025-07-23,APAC,Japan,Returning
196,2023-03-27,NA,Canada,VIP
197,2023-11-30,NA,Mexico,New
198,2023-04-25,EU,Spain,New
199,2023-11-27,EU,France,New
200,2025-07-25,EU,Germany,Returning
201,2023-12-23,NA,Canada,Returning
202,2025-06-03,NA,Canada,New
203,2024-04-27,EU,Germany,Returning
204,2024-11-12,NA,United States,Returning
205,2024-03-21,NA,Canada,New
206,2023-09-16,NA,Mexico,New
207,2025-01-14,APAC,Japan,New
208,2025-08-01,NA,Mexico,New
209,2023-09-14,EU,Sweden,Returning
210,2025-01-28,NA,United States,Returning
211,2023-09-12,EU,Germany,New
212,2024-11-29,EU,France,Returning
213,2025-02-07,APAC,Australia,Returning
214,2024-03-13,NA,United States,Returning
215,2024-12-18,APAC,India,Returning
216,2023-09-23,EU,Netherlands,New
217,2023-03-19,APAC,India,New
218,2023-04-04,EU,Netherlands,New
219,2024-03-11,NA,Mexico,Returning
220,2025-05-29,NA,United States,Returning
221,2023-05-05,APAC,Singapore,New
222,2024-03-19,APAC,Singapore,Returning
223,2024-11-16,EU,Netherlands,New
224,2023-07-17,NA,Mexico,New
225,2024-12-03,EU,Poland,Returning
226,2023-10-26,APAC,South Korea,New
227,2025-02-26,EU,France,New
228,2024-07-18,EU,Poland,New
229,2024-06-16,EU,Poland,New
230,2023-06-22,EU,France,Returning
231,2024-03-27,EU,Netherlands,Returning
232,2025-04-14,APAC,Japan,New
233,2023-01-20,EU,Poland,Returning
234,2025-01-08,EU,Poland,New
235,2024-04-24,EU,Spain,New
236,2024-12-01,EU,Poland,Returning
237,2024-10-08,EU,Poland,Returning
238,2024-02-25,EU,Sweden,New
239,2023-10-28,EU,Sweden,New
240,2024-09-02,EU,Netherlands,New
241,2023-05-17,NA,Mexico,Returning
242,2024-07-22,EU,Spain,New
243,2023-04-03,EU,Poland,Returning
244,2024-09-24,NA,Canada,Returning
245,2024-09-04,APAC,Singapore,Returning
246,2023-03-24,EU,Poland,Returning
247,2025-01-07,APAC,India,New
248,2024-02-09,EU,Poland,New
249,2025-02-05,EU,France,New
250,2023-02-10,EU,France,New
251,2023-06-24,EU,Italy,New
252,2024-04-26,APAC,Australia,New
253,2023-07-03,EU,Germany,Returning
254,2023-11-18,APAC,Australia,New
255,2024-10-05,NA,Canada,Returning
256,2023-05-21,EU,Germany,New
257,2024-10-22,NA,Canada,Returning
258,2023-04-11,NA,Canada,Returning
259,2023-06-20,APAC,Japan,Returning
260,2024-07-26,APAC,India,New
261,2025-02-11,NA,Canada,New
262,2023-06-16,EU,Netherlands,New
263,2023-10-20,EU,Germany,New
264,2025-06-20,NA,Canada,Returning
265,2025-08-21,EU,Spain,New
266,2024-07-19,EU,Netherlands,Returning
267,2024-03-11,NA,Mexico,New
268,2023-12-04,APAC,Australia,VIP
269,2024-08-19,EU,Italy,VIP
270,2024-07-29,NA,Mexico,Returning
271,2023-10-15,EU,France,Returning
272,2023-01-23,APAC,South Korea,Returning
273,2023-05-28,NA,Canada,New
274,2025-07-22,EU,Sweden,VIP
275,2024-02-12,APAC,Australia,New
276,2024-04-14,NA,Mexico,New
277,2024-03-30,APAC,South Korea,VIP
278,2025-02-01,NA,Mexico,New
279,2023-03-05,NA,United States,Returning
280,2023-03-22,NA,Canada,Returning
281,2023-09-26,EU,Sweden,VIP
282,2024-04-19,NA,Mexico,Returning
283,2024-10-15,EU,Poland,Returning
284,2024-04-22,EU,France,New
285,2024-03-05,NA,Mexico,VIP
286,2025-07-02,EU,Italy,New
287,2023-06-06,EU,Poland,New
288,2024-07-10,EU,Italy,New
289,2024-06-12,EU,Italy,Returning
290,2024-04-06,NA,Mexico,New
291,2025-02-25,APAC,Australia,New
292,2023-09-18,EU,Germany,New
293,2025-07-17,EU,Netherlands,New
294,2023-11-19,EU,Netherlands,New
295,2024-06-14,EU,Spain,New
296,2024-05-22,EU,Netherlands,New
297,2025-04-07,NA,Canada,New
298,2024-03-03,APAC,India,New
299,2023-10-05,EU,Italy,New
300,2023-01-22,NA,United States,Returning
301,2023-12-21,EU,Sweden,New
302,2025-03-15,EU,Germany,New
303,2023-01-10,EU,Spain,New
304,2025-05-22,NA,United States,New
305,2024-06-12,APAC,South Korea,New
306,2023-05-17,NA,United States,Returning
307,2023-10-22,APAC,South Korea,New
308,2024-06-23,NA,United States,Returning
309,2023-11-04,EU,Poland,New
310,2023-04-16,EU,Sweden,New
311,2024-10-10,EU,Italy,VIP
312,2024-10-16,NA,Mexico,New
313,2023-04-26,EU,Germany,Returning
314,2023-10-01,APAC,India,New
315,2023-08-26,EU,Sweden,Returning
316,2024-10-04,EU,France,Returning
317,2024-12-12,APAC,India,New
318,2024-12-09,EU,France,New
319,2025-07-03,EU,Poland,Returning
320,2025-01-18,NA,United States,Returning
321,2023-11-09,EU,France,New
322,2023-04-15,EU,Germany,Returning
323,2024-08-21,EU,Spain,New
324,2025-06-11,EU,Germany,Returning
325,2025-08-07,NA,Canada,New
326,2023-08-13,EU,Germany,New
327,2023-08-19,NA,Canada,New
328,2023-02-06,NA,Mexico,Returning
329,2023-05-18,APAC,South Korea,VIP
330,2024-06-24,EU,France,Returning
331,2024-06-16,EU,Germany,New
332,2023-12-28,APAC,Japan,Returning
333,2023-10-29,NA,Canada,New
334,2025-03-19,APAC,India,New
335,2024-03-24,APAC,Australia,New
336,2025-02-26,APAC,Singapore,Returning
337,2025-07-27,EU,Poland,New
338,2023-11-05,NA,United States,Returning
339,2023-07-17,APAC,Australia,New
340,2025-07-17,EU,Poland,New
341,2024-09-10,APAC,Singapore,New
342,2023-10-11,NA,Canada,Returning
343,2024-08-28,EU,Germany,VIP
344,2024-05-16,EU,France,VIP
345,2025-05-31,APAC,Japan,New
346,2023-09-07,EU,Sweden,New
347,2025-08-23,EU,Spain,New
348,2025-06-30,NA,United States,VIP
349,2023-06-26,NA,United States,New
350,2023-06-10,EU,Spain,Returning
351,2024-06-03,EU,Netherlands,New
352,2023-02-13,NA,Mexico,Returning
353,2023-10-19,EU,Poland,Returning
354,2024-02-28,EU,France,New
355,2025-08-02,EU,France,New
356,2025-08-24,NA,United States,Returning
357,2023-05-28,EU,Germany,VIP
358,2025-05-18,NA,Canada,New
359,2023-03-30,EU,Netherlands,New
360,2024-12-30,APAC,Singapore,New
361,2025-04-03,EU,Netherlands,Returning
362,2025-05-17,EU,Poland,Returning
363,2023-08-06,EU,Spain,New
364,2025-05-20,NA,United States,New
365,2023-04-23,EU,France,New
366,2024-05-20,EU,Poland,New
367,2024-04-02,NA,Canada,New
368,2023-11-04,EU,Germany,New
369,2023-01-22,NA,United States,Returning
370,2025-01-21,EU,Germany,New
371,2023-11-23,NA,United States,New
372,2024-10-06,NA,Mexico,Returning
373,2024-02-04,EU,Netherlands,Returning
374,2023-12-30,EU,Germany,New
375,2025-05-13,EU,Italy,Returning
376,2023-04-03,EU,Italy,New
377,2024-12-18,EU,Germany,New
378,2024-12-28,EU,Spain,Returning
379,2024-01-06,EU,Sweden,Returning
380,2023-09-13,EU,France,Returning
381,2023-01-06,NA,United States,New
382,2025-07-01,EU,France,New
383,2025-07-12,APAC,Singapore,New
384,2023-08-23,EU,Italy,New
385,2023-02-01,NA,Canada,New
386,2023-04-30,APAC,India,Returning
387,2023-03-07,APAC,India,New
388,2025-03-20,EU,Netherlands,Returning
389,2025-05-18,EU,Netherlands,New
390,2023-05-30,NA,United States,Returning
391,2024-12-28,APAC,Singapore,New
392,2023-06-24,APAC,Japan,New
393,2023-12-24,NA,Canada,New
394,2024-08-06,APAC,Japan,Returning
395,2024-12-02,NA,Mexico,Returning
396,2025-05-01,EU,Spain,Returning
397,2023-02-13,EU,Sweden,New
398,2023-07-11,NA,United States,VIP
399,2023-10-01,APAC,India,New
400,2023-10-30,APAC,India,New
401,2025-08-30,APAC,Singapore,New
402,2025-01-27,NA,United States,New
403,2023-11-09,NA,Canada,Returning
404,2025-08-04,EU,Italy,New
405,2024-05-01,NA,Mexico,Returning
406,2024-05-02,APAC,South Korea,Returning
407,2024-02-27,EU,Poland,New
408,2023-05-21,EU,Poland,Returning
409,2025-06-29,APAC,Australia,Returning
410,2023-01-14,APAC,India,VIP
411,2023-06-19,APAC,India,New
412,2023-08-12,APAC,Australia,Returning
413,2023-09-30,NA,Canada,New
414,2023-05-09,EU,France,Returning
415,2023-01-18,NA,United States,New
416,2024-10-22,EU,France,New
417,2025-08-02,NA,United States,Returning
418,2023-04-29,EU,Germany,Returning
419,2023-10-16,NA,United States,New
420,2024-05-08,NA,United States,New
421,2025-06-22,EU,Netherlands,Returning
422,2024-11-07,EU,Sweden,New
423,2025-01-16,APAC,Japan,Returning
424,2024-07-20,APAC,India,Returning
425,2024-02-11,NA,Canada,Returning
426,2023-07-14,EU,Spain,New
427,2025-04-21,NA,Canada,New
428,2025-02-22,NA,Canada,New
429,2023-01-25,EU,Germany,New
430,2024-11-27,EU,Spain,New
431,2023-03-24,NA,United States,New
432,2024-12-20,EU,Netherlands,New
433,2025-03-15,NA,Canada,New
434,2023-05-08,NA,Canada,New
435,2024-02-27,NA,United States,Returning
436,2023-05-01,EU,Italy,New
437,2024-07-06,NA,Canada,Returning
438,2025-06-22,EU,Poland,New
439,2023-03-20,EU,Poland,Returning
440,2024-01-23,NA,United States,New
441,2025-08-05,EU,Netherlands,Returning
442,2023-10-21,NA,Mexico,Returning
443,2023-05-09,APAC,Japan,New
444,2024-04-20,EU,Sweden,Returning
445,2024-05-10,NA,United States,New
446,2024-10-07,APAC,India,VIP
447,2023-11-02,NA,United States,Returning
448,2025-07-19,APAC,Japan,Returning
449,2024-05-22,EU,Spain,VIP
450,2023-10-06,EU,Sweden,New
451,2025-07-24,EU,France,VIP
452,2025-06-19,NA,Mexico,New
453,2024-05-01,NA,Mexico,New
454,2023-01-25,EU,Italy,New
455,2024-08-04,EU,Italy,New
456,2024-06-24,EU,Netherlands,New
457,2023-05-25,EU,Sweden,New
458,2024-09-09,APAC,Australia,New
459,2025-03-29,APAC,Australia,Returning
460,2023-04-14,APAC,Singapore,Returning
461,2024-12-05,EU,Netherlands,New
462,2023-05-17,EU,Italy,Returning
463,2024-12-30,APAC,Japan,New
464,2024-02-13,EU,France,New
465,2023-01-07,APAC,Australia,New
466,2025-07-30,NA,Mexico,New
467,2023-06-11,NA,Mexico,New
468,2024-08-03,EU,Netherlands,New
469,2023-06-26,NA,Canada,Returning
470,2025-06-27,EU,France,Returning
471,2024-12-20,APAC,Singapore,New
472,2025-02-22,EU,Germany,Returning
473,2024-02-25,EU,Poland,VIP
474,2024-03-31,APAC,South Korea,Returning
475,2024-09-09,EU,Sweden,New
476,2025-02-03,NA,Canada,VIP
477,2025-04-04,NA,Canada,New
478,2023-01-18,EU,France,New
479,2024-10-08,NA,Mexico,Returning
480,2023-04-17,NA,United States,New
481,2023-10-08,EU,Spain,Returning
482,2025-03-18,NA,Mexico,Returning
483,2023-09-01,NA,Mexico,Returning
484,2025-02-15,EU,Poland,New
485,2024-03-26,EU,Netherlands,VIP
486,2023-08-15,NA,Canada,New
487,2023-11-22,APAC,India,New
488,2024-05-31,NA,Canada,New
489,2025-01-15,EU,Spain,New
490,2024-08-13,EU,Germany,New
491,2025-06-27,APAC,Australia,New
492,2025-04-25,EU,Spain,Returning
493,2025-01-03,NA,Mexico,New
494,2024-08-10,EU,Germany,Returning
495,2023-10-10,EU,Germany,Returning
496,2024-02-06,EU,Germany,New
497,2023-04-26,EU,Germany,New
498,2023-12-31,APAC,India,Returning
499,2025-06-21,APAC,Singapore,VIP
500,2024-02-19,NA,United States,Returning
501,2023-04-21,EU,Spain,New
502,2024-09-26,NA,United States,New
503,2025-07-26,EU,Poland,New
504,2025-04-24,APAC,India,New
505,2023-09-24,EU,Netherlands,New
506,2024-03-18,EU,Sweden,Returning
507,2024-06-01,APAC,Japan,Returning
508,2023-08-30,EU,Netherlands,New
509,2023-09-19,EU,Italy,VIP
510,2023-08-19,NA,United States,Returning
511,2025-08-26,EU,Poland,Returning
512,2024-12-27,EU,Poland,VIP
513,2025-03-29,APAC,Singapore,New
514,2025-03-06,NA,United States,New
515,2025-07-23,APAC,South Korea,VIP
516,2023-04-13,EU,France,New
517,2025-05-08,NA,Canada,New
518,2023-03-06,APAC,India,Returning
519,2024-04-08,EU,Spain,Returning
520,2024-08-01,APAC,South Korea,New
521,2023-12-15,NA,Canada,Returning
522,2023-05-23,EU,Germany,New
523,2023-07-07,APAC,Japan,Returning
524,2025-03-14,NA,Mexico,New
525,2023-11-07,APAC,India,New
526,2023-10-30,NA,United States,New
527,2025-06-18,NA,Mexico,Returning
528,2023-05-21,NA,Mexico,New
529,2025-06-10,EU,France,New
530,2025-06-16,APAC,Japan,Returning
531,2024-08-05,NA,Canada,New
532,2023-06-11,APAC,Australia,Returning
533,2023-06-01,EU,Poland,Returning
534,2023-10-05,APAC,Australia,VIP
535,2024-07-16,NA,United States,VIP
536,2023-05-30,APAC,South Korea,New
537,2024-03-19,NA,United States,New
538,2023-04-23,APAC,Australia,New
539,2024-06-10,NA,United States,Returning
540,2023-01-21,NA,Canada,Returning
541,2024-11-21,EU,Spain,New
542,2023-02-23,NA,United States,New
543,2023-07-09,NA,Mexico,Returning
544,2023-06-20,EU,Spain,New
545,2025-03-20,EU,Spain,Returning
546,2023-02-21,EU,Poland,New
547,2024-02-23,NA,Canada,Returning
548,2024-07-29,EU,Netherlands,Returning
549,2024-05-17,NA,United States,Returning
550,2024-10-25,EU,Sweden,New
551,2025-02-21,EU,Netherlands,New
552,2024-01-19,NA,United States,VIP
553,2025-03-17,APAC,Australia,New
554,2023-11-06,APAC,India,New
555,2025-08-16,NA,United States,New
556,2024-05-06,EU,Italy,Returning
557,2024-12-17,NA,Mexico,VIP
558,2025-05-02,NA,Mexico,Returning
559,2025-02-11,NA,Mexico,Returning
560,2025-04-09,EU,Italy,New
561,2024-06-06,NA,Mexico,New
562,2023-02-12,APAC,India,New
563,2024-04-25,EU,Spain,New
564,2023-06-26,EU,Sweden,New
565,2025-05-15,EU,France,New
566,2023-08-19,APAC,South Korea,Returning
567,2023-08-11,APAC,Japan,New
568,2023-08-31,EU,Germany,New
569,2024-09-17,NA,Mexico,Returning
570,2024-07-10,NA,Mexico,Returning
571,2025-07-13,EU,Sweden,New
572,2024-02-10,EU,Spain,New
573,2023-10-02,EU,Italy,Returning
574,2023-02-17,EU,Netherlands,New
575,2023-01-07,NA,Canada,New
576,2023-12-30,EU,Netherlands,New
577,2025-06-20,EU,Spain,New
578,2024-05-25,NA,Mexico,New
579,2025-05-20,APAC,South Korea,New
580,2023-04-10,NA,Canada,Returning
581,2023-04-01,APAC,Australia,Returning
582,2025-03-22,EU,Germany,Returning
583,2023-04-14,APAC,Australia,New
584,2023-02-20,EU,Italy,New
585,2024-01-29,APAC,India,Returning
586,2025-06-19,NA,United States,Returning
587,2024-11-02,NA,Mexico,Returning
588,2023-04-07,EU,Poland,New
589,2025-03-26,EU,Sweden,Returning
590,2025-04-01,APAC,South Korea,New
591,2025-02-18,EU,France,New
592,2025-05-29,NA,Canada,VIP
593,2023-08-22,EU,France,New
594,2025-08-12,APAC,South Korea,New
595,2023-11-09,EU,France,Returning
596,2025-02-20,APAC,South Korea,Returning
597,2024-07-18,NA,Canada,New
598,2025-01-29,EU,Sweden,New
599,2024-09-03,APAC,Singapore,New
600,2024-09-17,EU,Germany,New
601,2024-08-23,NA,Mexico,New
602,2025-01-28,NA,United States,New
603,2024-12-20,EU,Netherlands,New
604,2023-05-12,NA,Canada,New
605,2025-03-15,EU,Sweden,New
606,2024-06-06,EU,France,Returning
607,2023-11-11,APAC,Australia,Returning
608,2024-05-15,NA,Mexico,Returning
609,2025-07-30,NA,Mexico,New
610,2025-04-15,EU,Netherlands,Returning
611,2025-03-23,EU,Italy,Returning
612,2024-03-26,EU,Spain,VIP
613,2025-02-02,APAC,South Korea,New
614,2024-01-11,NA,United States,New
615,2024-10-30,EU,Sweden,Returning
616,2024-09-14,APAC,India,New
617,2023-09-01,EU,Germany,New
618,2023-09-17,NA,United States,New
619,2023-03-01,EU,Germany,New
620,2023-05-17,NA,United States,Returning
621,2024-02-27,EU,Italy,New
622,2024-04-10,EU,Germany,New
623,2023-06-10,EU,Sweden,New
624,2024-02-11,EU,Sweden,New
625,2024-08-11,EU,Spain,Returning
626,2023-08-15,APAC,India,New
627,2023-11-26,EU,France,VIP
628,2023-12-24,NA,Canada,New
629,2024-05-06,EU,Netherlands,Returning
630,2023-12-23,NA,United States,New
631,2024-12-18,EU,Italy,Returning
632,2023-11-15,NA,United States,Returning
633,2024-02-27,EU,Germany,Returning
634,2024-01-05,EU,France,New
635,2023-06-28,APAC,Singapore,New
636,2024-10-29,EU,Poland,Returning
637,2023-08-18,EU,Italy,New
638,2023-10-17,NA,Mexico,New
639,2025-02-11,NA,Mexico,New
640,2025-07-13,EU,Germany,Returning
641,2024-10-15,EU,Italy,Returning
642,2025-06-11,APAC,South Korea,New
643,2025-04-11,EU,France,Returning
644,2024-04-13,APAC,India,Returning
645,2025-01-20,APAC,Australia,New
646,2023-11-16,EU,Spain,Returning
647,2024-03-24,APAC,Australia,New
648,2024-06-05,EU,France,Returning
649,2025-07-24,EU,Italy,Returning
650,2025-04-06,EU,Spain,New
651,2024-04-21,NA,Mexico,New
652,2024-09-27,NA,Mexico,Returning
653,2023-07-17,APAC,India,VIP
654,2025-02-22,NA,Mexico,Returning
655,2024-06-22,NA,Mexico,Returning
656,2024-06-02,NA,Mexico,Returning
657,2025-01-16,EU,Italy,Returning
658,2024-09-08,NA,Mexico,VIP
659,2023-03-12,APAC,Australia,New
660,2023-10-08,EU,Italy,Returning
661,2023-06-22,NA,Canada,New
662,2024-12-16,EU,Netherlands,New
663,2023-02-04,APAC,South Korea,New
664,2023-07-17,EU,Spain,New
665,2024-08-04,NA,United States,New
666,2024-11-07,EU,Germany,New
667,2024-05-05,EU,France,New
668,2025-04-18,APAC,Australia,New
669,2025-06-14,EU,Netherlands,New
670,2023-05-09,NA,Mexico,VIP
671,2025-07-16,EU,Poland,New
672,2024-08-21,EU,Sweden,Returning
673,2024-09-11,NA,Mexico,New
674,2023-04-03,NA,Mexico,New
675,2024-08-28,EU,Germany,Returning
676,2024-12-07,APAC,South Korea,Returning
677,2024-07-19,EU,Netherlands,New
678,2023-03-24,EU,Netherlands,New
679,2024-05-24,EU,Germany,Returning
680,2025-06-30,EU,Spain,New
681,2024-12-05,NA,United States,VIP
682,2023-05-14,EU,France,Returning
683,2025-07-23,EU,Sweden,New
684,2025-07-22,NA,United States,New
685,2023-06-14,NA,Canada,Returning
686,2025-02-19,EU,Germany,New
687,2024-02-01,EU,Netherlands,Returning
688,2024-08-01,EU,Netherlands,New
689,2024-03-09,NA,United States,New
690,2025-02-01,EU,Netherlands,New
691,2025-08-28,EU,Sweden,New
692,2025-02-13,EU,Italy,New
693,2025-06-26,EU,Netherlands,New
694,2025-07-10,EU,Sweden,Returning
695,2023-03-29,EU,France,New
696,2023-09-04,APAC,South Korea,New
697,2024-12-04,EU,Spain,New
698,2024-07-28,EU,Spain,New
699,2023-02-18,APAC,South Korea,New
700,2023-04-03,EU,Netherlands,Returning
701,2024-05-22,EU,Poland,Returning
702,2024-08-23,NA,Canada,Returning
703,2023-06-13,EU,Spain,VIP
704,2023-06-16,EU,Spain,New
705,2023-05-06,NA,Mexico,Returning
706,2024-07-04,APAC,Australia,New
707,2023-01-08,EU,Netherlands,New
708,2024-07-11,EU,Spain,New
709,2024-04-08,NA,Mexico,Returning
710,2024-03-29,EU,Italy,Returning
711,2024-10-23,EU,Poland,New
712,2024-05-24,APAC,Australia,Returning
713,2024-12-09,EU,Italy,New
714,2025-01-14,APAC,South Korea,New
715,2025-06-15,NA,Canada,New
716,2025-02-17,NA,United States,Returning
717,2024-05-19,APAC,Australia,New
718,2024-04-24,EU,Italy,Returning
719,2023-08-18,EU,Netherlands,New
720,2024-08-07,EU,Italy,New
721,2023-05-16,EU,Germany,New
722,2025-06-26,EU,Netherlands,New
723,2025-04-03,EU,France,New
724,2023-04-27,EU,Sweden,Returning
725,2025-02-04,EU,Italy,VIP
726,2023-04-25,EU,France,New
727,2024-12-03,NA,Canada,New
728,2023-03-27,APAC,Japan,Returning
729,2024-04-20,APAC,Singapore,Returning
