date,region,channel,spend,sessions
2023-01-08,NA,Social,508.59,2012
2023-01-08,NA,Email,207.89,347
2023-01-08,NA,Affiliate,166.22,498
2023-01-08,NA,Direct,83.44,160
2023-01-08,APAC,Paid Search,677.37,1799
2023-01-08,APAC,Social,416.97,1474
2023-01-08,APAC,Email,193.58,306
2023-01-08,APAC,Affiliate,249.26,574
2023-01-08,APAC,Direct,59.54,124
2023-01-09,EU,Paid Search,1116.18,3088
2023-01-09,EU,Social,1180.87,5970
2023-01-09,EU,Email,298.64,562
2023-01-09,EU,Affiliate,405.0,1373
2023-01-09,EU,Direct,74.9,135
2023-01-09,NA,Paid Search,1065.75,3665
2023-01-09,NA,Social,605.42,3212
2023-01-09,NA,Email,209.27,417
2023-01-09,NA,Affiliate,237.48,550
2023-01-09,NA,Direct,103.3,198
2023-01-09,APAC,Paid Search,960.16,3547
2023-01-09,APAC,Social,373.77,1684
2023-01-09,APAC,Email,208.15,410
2023-01-09,APAC,Affiliate,290.22,1196
2023-01-09,APAC,Direct,54.2,100
2023-01-10,EU,Paid Search,890.17,3447
2023-01-10,EU,Social,774.54,3317
2023-01-10,EU,Email,232.8,399
2023-01-10,EU,Affiliate,205.28,612
2023-01-10,EU,Direct,84.19,129
2023-01-10,NA,Paid Search,906.66,3561
2023-01-10,NA,Social,911.97,3127
2023-01-10,NA,Email,259.55,410
2023-01-10,NA,Affiliate,277.29,802
2023-01-10,NA,Direct,87.23,100
2023-01-10,APAC,Paid Search,502.94,1744
2023-01-10,APAC,Social,137.83,686
2023-01-10,APAC,Email,215.65,420
2023-01-10,APAC,Affiliate,290.13,523
2023-01-10,APAC,Direct,71.39,118
2023-01-11,EU,Paid Search,737.48,2593
2023-01-11,EU,Social,746.53,1842
2023-01-11,EU,Email,255.15,553
2023-01-11,EU,Affiliate,223.11,740
2023-01-11,EU,Direct,106.62,116
2023-01-11,NA,Paid Search,636.23,2656
2023-01-11,NA,Social,620.59,3166
2023-01-11,NA,Email,226.94,325
2023-01-11,NA,Affiliate,227.52,953
2023-01-11,NA,Direct,50.0,100
2023-01-11,APAC,Paid Search,587.13,1195
2023-01-11,APAC,Social,631.2,2124
2023-01-11,APAC,Email,212.15,409
2023-01-11,APAC,Affiliate,284.9,445
2023-01-11,APAC,Direct,56.93,100
2023-01-12,EU,Paid Search,971.48,3140
2023-01-12,EU,Social,638.77,2546
2023-01-12,EU,Email,216.11,401
2023-01-12,EU,Affiliate,299.3,1082
2023-01-12,EU,Direct,103.0,116
2023-01-12,NA,Paid Search,1348.45,4950
2023-01-12,NA,Social,726.28,3926
2023-01-12,NA,Email,248.34,407
2023-01-12,NA,Affiliate,199.9,147
2023-01-12,NA,Direct,107.61,167
2023-01-12,APAC,Paid Search,811.88,3156
2023-01-12,APAC,Social,484.59,2223
2023-01-12,APAC,Email,123.52,252
2023-01-12,APAC,Affiliate,298.55,721
2023-01-12,APAC,Direct,106.98,114
2023-01-13,EU,Paid Search,1180.87,4093
2023-01-13,EU,Social,1001.64,3947
2023-01-13,EU,Email,224.43,528
2023-01-13,EU,Affiliate,309.83,1085
2023-01-13,EU,Direct,69.8,100
2023-01-13,NA,Paid Search,746.5,1836
2023-01-13,NA,Social,507.61,2779
2023-01-13,NA,Email,328.08,402
2023-01-13,NA,Affiliate,382.82,1251
2023-01-13,NA,Direct,76.6,100
2023-01-13,APAC,Paid Search,956.36,2079
2023-01-13,APAC,Social,540.56,1906
2023-01-13,APAC,Email,177.49,453
2023-01-13,APAC,Affiliate,129.38,281
2023-01-13,APAC,Direct,56.33,102
2023-01-14,EU,Paid Search,1182.69,5650
2023-01-14,EU,Social,832.35,3732
2023-01-14,EU,Email,240.68,199
2023-01-14,EU,Affiliate,457.35,1454
2023-01-14,EU,Direct,88.74,110
2023-01-14,NA,Paid Search,1206.65,2901
2023-01-14,NA,Social,525.19,1987
2023-01-14,NA,Email,255.0,484
2023-01-14,NA,Affiliate,346.09,1209
2023-01-14,NA,Direct,72.6,136
2023-01-14,APAC,Paid Search,514.42,1633
2023-01-14,APAC,Social,564.3,2765
2023-01-14,APAC,Email,253.76,431
2023-01-14,APAC,Affiliate,268.37,637
2023-01-14,APAC,Direct,58.35,100
2023-01-15,EU,Paid Search,1181.79,4336
2023-01-15,EU,Social,724.72,2984
2023-01-15,EU,Email,249.16,507
2023-01-15,EU,Affiliate,330.24,854
2023-01-15,EU,Direct,81.18,127
2023-01-15,NA,Paid Search,793.95,2091
2023-01-15,NA,Social,798.55,2775
2023-01-15,NA,Email,204.0,346
2023-01-15,NA,Affiliate,299.57,950
2023-01-15,NA,Direct,69.18,114
2023-01-15,APAC,Paid Search,685.11,2527
2023-01-15,APAC,Social,751.02,2869
2023-01-15,APAC,Email,202.0,503
2023-01-15,APAC,Affiliate,205.64,428
2023-01-15,APAC,Direct,62.4,101
2023-01-16,EU,Paid Search,1186.09,4018
2023-01-16,EU,Social,820.71,3197
2023-01-16,EU,Email,292.96,602
2023-01-16,EU,Affiliate,311.88,1202
2023-01-16,EU,Direct,100.35,120
2023-01-16,NA,Paid Search,763.61,2398
2023-01-16,NA,Social,1052.33,2548
2023-01-16,NA,Email,344.0,649
2023-01-16,NA,Affiliate,256.38,967
2023-01-16,NA,Direct,72.19,148
2023-01-16,APAC,Paid Search,740.05,2781
2023-01-16,APAC,Social,569.94,3155
2023-01-16,APAC,Email,157.68,292
2023-01-16,APAC,Affiliate,246.21,729
2023-01-16,APAC,Direct,88.75,152
2023-01-17,EU,Paid Search,1049.35,3531
2023-01-17,EU,Social,667.47,2777
2023-01-17,EU,Email,303.87,537
2023-01-17,EU,Affiliate,303.14,1078
2023-01-17,EU,Direct,104.3,122
2023-01-17,NA,Paid Search,783.49,3507
2023-01-17,NA,Social,602.16,2905
2023-01-17,NA,Email,186.86,356
2023-01-17,NA,Affiliate,468.99,988
2023-01-17,NA,Direct,62.1,100
2023-01-17,APAC,Paid Search,845.73,1730
2023-01-17,APAC,Social,793.37,3199
2023-01-17,APAC,Email,146.02,357
2023-01-17,APAC,Affiliate,239.73,921
2023-01-17,APAC,Direct,65.96,100
2023-01-18,EU,Paid Search,1184.3,4789
2023-01-18,EU,Social,830.97,2941
2023-01-18,EU,Email,358.9,703
2023-01-18,EU,Affiliate,322.98,1165
2023-01-18,EU,Direct,99.78,169
2023-01-18,NA,Paid Search,827.99,2195
2023-01-18,NA,Social,763.28,3005
2023-01-18,NA,Email,233.43,616
2023-01-18,NA,Affiliate,391.04,918
2023-01-18,NA,Direct,97.62,179
2023-01-18,APAC,Paid Search,726.96,3175
2023-01-18,APAC,Social,494.73,2109
2023-01-18,APAC,Email,234.25,409
2023-01-18,APAC,Affiliate,187.24,619
2023-01-18,APAC,Direct,57.0,100
2023-01-19,EU,Paid Search,1030.84,2120
2023-01-19,EU,Social,761.09,3862
2023-01-19,EU,Email,269.34,514
2023-01-19,EU,Affiliate,305.71,1095
2023-01-19,EU,Direct,67.87,100
2023-01-19,NA,Paid Search,1239.16,3613
2023-01-19,NA,Social,776.49,3091
2023-01-19,NA,Email,165.11,393
2023-01-19,NA,Affiliate,187.33,556
2023-01-19,NA,Direct,114.69,170
2023-01-19,APAC,Paid Search,476.37,1452
2023-01-19,APAC,Social,682.44,2840
2023-01-19,APAC,Email,136.03,256
2023-01-19,APAC,Affiliate,250.91,897
2023-01-19,APAC,Direct,56.15,100
2023-01-20,EU,Paid Search,901.59,3519
2023-01-20,EU,Social,668.4,2679
2023-01-20,EU,Email,236.84,541
2023-01-20,EU,Affiliate,384.05,1220
2023-01-20,EU,Direct,117.4,201
2023-01-20,NA,Paid Search,1043.54,4250
2023-01-20,NA,Social,640.18,2534
2023-01-20,NA,Email,220.97,303
2023-01-20,NA,Affiliate,222.0,690
2023-01-20,NA,Direct,94.31,133
2023-01-20,APAC,Paid Search,486.96,1349
2023-01-20,APAC,Social,331.48,1867
2023-01-20,APAC,Email,182.31,395
2023-01-20,APAC,Affiliate,313.54,839
2023-01-20,APAC,Direct,60.41,100
2023-01-21,EU,Paid Search,1253.16,4514
2023-01-21,EU,Social,855.11,3127
2023-01-21,EU,Email,233.04,518
2023-01-21,EU,Affiliate,380.88,1020
2023-01-21,EU,Direct,84.37,132
2023-01-21,NA,Paid Search,787.27,2227
2023-01-21,NA,Social,449.72,2159
2023-01-21,NA,Email,215.21,386
2023-01-21,NA,Affiliate,318.02,954
2023-01-21,NA,Direct,61.85,100
2023-01-21,APAC,Paid Search,848.6,3007
2023-01-21,APAC,Social,696.62,3288
2023-01-21,APAC,Email,208.42,284
2023-01-21,APAC,Affiliate,348.34,1074
2023-01-21,APAC,Direct,72.93,143
2023-01-22,EU,Paid Search,1132.84,2475
2023-01-22,EU,Social,544.22,1536
2023-01-22,EU,Email,216.09,529
2023-01-22,EU,Affiliate,398.19,1263
2023-01-22,EU,Direct,86.79,171
2023-01-22,NA,Paid Search,890.15,2195
2023-01-22,NA,Social,634.84,3044
2023-01-22,NA,Email,253.32,285
2023-01-22,NA,Affiliate,289.87,1141
2023-01-22,NA,Direct,64.92,100
2023-01-22,APAC,Paid Search,765.28,3444
2023-01-22,APAC,Social,395.17,1775
2023-01-22,APAC,Email,171.91,230
2023-01-22,APAC,Affiliate,244.3,671
2023-01-22,APAC,Direct,64.17,100
2023-01-23,EU,Paid Search,1047.68,3111
2023-01-23,EU,Social,993.01,3150
2023-01-23,EU,Email,269.25,482
2023-01-23,EU,Affiliate,335.73,967
2023-01-23,EU,Direct,79.13,100
2023-01-23,NA,Paid Search,1168.34,3645
2023-01-23,NA,Social,813.26,2759
2023-01-23,NA,Email,266.28,467
2023-01-23,NA,Affiliate,301.62,660
2023-01-23,NA,Direct,54.9,100
2023-01-23,APAC,Paid Search,939.91,3976
2023-01-23,APAC,Social,605.83,3358
2023-01-23,APAC,Email,182.3,312
2023-01-23,APAC,Affiliate,223.24,737
2023-01-23,APAC,Direct,57.61,110
2023-01-24,EU,Paid Search,983.38,4112
2023-01-24,EU,Social,874.29,4160
2023-01-24,EU,Email,221.77,233
2023-01-24,EU,Affiliate,365.19,962
2023-01-24,EU,Direct,94.95,155
2023-01-24,NA,Paid Search,811.45,2358
2023-01-24,NA,Social,689.4,1714
2023-01-24,NA,Email,209.64,407
2023-01-24,NA,Affiliate,332.71,810
2023-01-24,NA,Direct,74.54,128
2023-01-24,APAC,Paid Search,811.48,3272
2023-01-24,APAC,Social,428.22,1603
2023-01-24,APAC,Email,198.36,318
2023-01-24,APAC,Affiliate,228.16,814
2023-01-24,APAC,Direct,64.58,108
2023-01-25,EU,Paid Search,1360.01,4346
2023-01-25,EU,Social,1009.78,3941
2023-01-25,EU,Email,203.75,423
2023-01-25,EU,Affiliate,331.73,705
2023-01-25,EU,Direct,79.63,100
2023-01-25,NA,Paid Search,1022.11,4772
2023-01-25,NA,Social,728.73,3293
2023-01-25,NA,Email,192.48,331
2023-01-25,NA,Affiliate,331.28,1078
2023-01-25,NA,Direct,93.23,128
2023-01-25,APAC,Paid Search,637.45,3247
2023-01-25,APAC,Social,682.08,3295
2023-01-25,APAC,Email,133.49,278
2023-01-25,APAC,Affiliate,321.27,1106
2023-01-25,APAC,Direct,76.56,108
2023-01-26,EU,Paid Search,896.07,2788
2023-01-26,EU,Social,862.44,3269
2023-01-26,EU,Email,307.72,630
2023-01-26,EU,Affiliate,353.39,1038
2023-01-26,EU,Direct,64.95,100
2023-01-26,NA,Paid Search,1124.76,3738
2023-01-26,NA,Social,626.42,1944
2023-01-26,NA,Email,251.95,303
2023-01-26,NA,Affiliate,331.92,555
2023-01-26,NA,Direct,75.72,133
2023-01-26,APAC,Paid Search,695.9,2382
2023-01-26,APAC,Social,718.78,2075
2023-01-26,APAC,Email,175.77,299
2023-01-26,APAC,Affiliate,239.47,697
2023-01-26,APAC,Direct,76.9,100
2023-01-27,EU,Paid Search,1151.51,5329
2023-01-27,EU,Social,730.39,3195
2023-01-27,EU,Email,226.53,613
2023-01-27,EU,Affiliate,243.31,698
2023-01-27,EU,Direct,89.27,100
2023-01-27,NA,Paid Search,652.04,1939
2023-01-27,NA,Social,629.97,2690
2023-01-27,NA,Email,122.69,279
2023-01-27,NA,Affiliate,280.17,858
2023-01-27,NA,Direct,71.2,100
2023-01-27,APAC,Paid Search,883.16,3831
2023-01-27,APAC,Social,742.89,3377
2023-01-27,APAC,Email,135.89,246
2023-01-27,APAC,Affiliate,200.26,538
2023-01-27,APAC,Direct,50.0,100
2023-01-28,EU,Paid Search,1075.14,3176
2023-01-28,EU,Social,880.05,3345
2023-01-28,EU,Email,268.59,436
2023-01-28,EU,Affiliate,298.74,1068
2023-01-28,EU,Direct,98.76,184
2023-01-28,NA,Paid Search,852.85,2925
2023-01-28,NA,Social,751.48,2746
2023-01-28,NA,Email,171.59,372
2023-01-28,NA,Affiliate,274.36,778
2023-01-28,NA,Direct,97.7,129
2023-01-28,APAC,Paid Search,809.51,2772
2023-01-28,APAC,Social,576.27,1583
2023-01-28,APAC,Email,209.94,550
2023-01-28,APAC,Affiliate,330.93,952
2023-01-28,APAC,Direct,91.33,168
2023-01-29,EU,Paid Search,1049.78,4819
2023-01-29,EU,Social,789.07,3597
2023-01-29,EU,Email,334.63,594
2023-01-29,EU,Affiliate,352.14,709
2023-01-29,EU,Direct,80.83,133
2023-01-29,NA,Paid Search,914.48,3591
2023-01-29,NA,Social,421.12,1885
2023-01-29,NA,Email,191.0,447
2023-01-29,NA,Affiliate,245.69,868
2023-01-29,NA,Direct,54.74,100
2023-01-29,APAC,Paid Search,752.77,2734
2023-01-29,APAC,Social,534.14,2584
2023-01-29,APAC,Email,199.94,410
2023-01-29,APAC,Affiliate,254.85,591
2023-01-29,APAC,Direct,66.86,100
2023-01-30,EU,Paid Search,1253.76,4102
2023-01-30,EU,Social,795.88,3944
2023-01-30,EU,Email,246.69,446
2023-01-30,EU,Affiliate,358.96,1293
2023-01-30,EU,Direct,102.22,166
2023-01-30,NA,Paid Search,643.8,2685
2023-01-30,NA,Social,560.9,2409
2023-01-30,NA,Email,297.86,511
2023-01-30,NA,Affiliate,358.51,1032
2023-01-30,NA,Direct,53.33,100
2023-01-30,APAC,Paid Search,709.12,2206
2023-01-30,APAC,Social,685.91,3077
2023-01-30,APAC,Email,157.74,225
2023-01-30,APAC,Affiliate,242.13,675
2023-01-30,APAC,Direct,63.31,101
2023-01-31,EU,Paid Search,1252.04,5239
2023-01-31,EU,Social,1232.25,5571
2023-01-31,EU,Email,226.53,467
2023-01-31,EU,Affiliate,334.13,789
2023-01-31,EU,Direct,83.94,181
2023-01-31,NA,Paid Search,867.47,3861
2023-01-31,NA,Social,830.01,3706
2023-01-31,NA,Email,276.39,604
2023-01-31,NA,Affiliate,230.96,767
2023-01-31,NA,Direct,77.8,100
2023-01-31,APAC,Paid Search,782.73,2721
2023-01-31,APAC,Social,599.07,3850
2023-01-31,APAC,Email,264.41,551
2023-01-31,APAC,Affiliate,313.27,862
2023-01-31,APAC,Direct,53.16,100
2023-02-01,EU,Paid Search,1045.06,3911
2023-02-01,EU,Social,739.04,3150
2023-02-01,EU,Email,306.97,748
2023-02-01,EU,Affiliate,335.34,1357
2023-02-01,EU,Direct,97.58,148
2023-02-01,NA,Paid Search,997.09,3594
2023-02-01,NA,Social,745.94,3380
2023-02-01,NA,Email,237.88,615
2023-02-01,NA,Affiliate,315.54,668
2023-02-01,NA,Direct,104.13,168
2023-02-01,APAC,Paid Search,527.05,1503
2023-02-01,APAC,Social,552.23,2529
2023-02-01,APAC,Email,53.28,100
2023-02-01,APAC,Affiliate,263.05,1004
2023-02-01,APAC,Direct,84.62,101
2023-02-02,EU,Paid Search,1209.11,4712
2023-02-02,EU,Social,858.77,4487
2023-02-02,EU,Email,241.7,520
2023-02-02,EU,Affiliate,484.99,1358
2023-02-02,EU,Direct,84.98,146
2023-02-02,NA,Paid Search,1006.09,2241
2023-02-02,NA,Social,845.81,2691
2023-02-02,NA,Email,272.06,531
2023-02-02,NA,Affiliate,311.23,949
2023-02-02,NA,Direct,65.3,121
2023-02-02,APAC,Paid Search,794.2,2600
2023-02-02,APAC,Social,805.65,3332
2023-02-02,APAC,Email,154.99,362
2023-02-02,APAC,Affiliate,223.53,897
2023-02-02,APAC,Direct,59.75,100
2023-02-03,EU,Paid Search,964.31,3388
2023-02-03,EU,Social,776.15,3147
2023-02-03,EU,Email,213.75,456
2023-02-03,EU,Affiliate,403.99,1444
2023-02-03,EU,Direct,83.28,134
2023-02-03,NA,Paid Search,1115.53,4204
2023-02-03,NA,Social,617.06,3012
2023-02-03,NA,Email,295.66,608
2023-02-03,NA,Affiliate,334.88,793
2023-02-03,NA,Direct,71.19,127
2023-02-03,APAC,Paid Search,776.87,2241
2023-02-03,APAC,Social,768.64,3907
2023-02-03,APAC,Email,180.43,547
2023-02-03,APAC,Affiliate,228.68,467
2023-02-03,APAC,Direct,62.14,100
2023-02-04,EU,Paid Search,1196.02,5374
2023-02-04,EU,Social,722.4,2782
2023-02-04,EU,Email,253.24,470
2023-02-04,EU,Affiliate,360.52,936
2023-02-04,EU,Direct,101.37,119
2023-02-04,NA,Paid Search,986.17,4027
2023-02-04,NA,Social,571.32,1637
2023-02-04,NA,Email,178.19,327
2023-02-04,NA,Affiliate,237.45,926
2023-02-04,NA,Direct,77.82,100
2023-02-04,APAC,Paid Search,633.66,2585
2023-02-04,APAC,Social,726.68,2780
2023-02-04,APAC,Email,202.89,446
2023-02-04,APAC,Affiliate,285.12,970
2023-02-04,APAC,Direct,80.31,135
2023-02-05,EU,Paid Search,1015.08,3331
2023-02-05,EU,Social,625.96,2729
2023-02-05,EU,Email,281.39,509
2023-02-05,EU,Affiliate,385.89,1057
2023-02-05,EU,Direct,79.51,148
2023-02-05,NA,Paid Search,840.41,2888
2023-02-05,NA,Social,793.99,2658
2023-02-05,NA,Email,242.92,396
2023-02-05,NA,Affiliate,349.13,1501
2023-02-05,NA,Direct,92.94,174
2023-02-05,APAC,Paid Search,871.57,4111
2023-02-05,APAC,Social,306.33,1371
2023-02-05,APAC,Email,237.0,448
2023-02-05,APAC,Affiliate,297.17,793
2023-02-05,APAC,Direct,85.78,128
2023-02-06,EU,Paid Search,1062.11,3219
2023-02-06,EU,Social,841.01,4613
2023-02-06,EU,Email,329.03,550
2023-02-06,EU,Affiliate,376.03,1241
2023-02-06,EU,Direct,89.34,140
2023-02-06,NA,Paid Search,1158.76,3989
2023-02-06,NA,Social,769.65,3949
2023-02-06,NA,Email,269.49,559
2023-02-06,NA,Affiliate,400.8,1036
2023-02-06,NA,Direct,53.97,100
2023-02-06,APAC,Paid Search,1121.79,5664
2023-02-06,APAC,Social,465.87,1754
2023-02-06,APAC,Email,118.02,243
2023-02-06,APAC,Affiliate,302.12,740
2023-02-06,APAC,Direct,58.51,112
2023-02-07,EU,Paid Search,1461.92,6021
2023-02-07,EU,Social,760.5,4341
2023-02-07,EU,Email,301.53,561
2023-02-07,EU,Affiliate,333.4,550
2023-02-07,EU,Direct,118.32,270
2023-02-07,NA,Paid Search,937.61,3714
2023-02-07,NA,Social,698.48,3068
2023-02-07,NA,Email,186.88,409
2023-02-07,NA,Affiliate,428.16,1280
2023-02-07,NA,Direct,73.51,134
2023-02-07,APAC,Paid Search,655.09,2168
2023-02-07,APAC,Social,535.01,2030
2023-02-07,APAC,Email,154.7,360
2023-02-07,APAC,Affiliate,349.06,1227
2023-02-07,APAC,Direct,95.69,168
2023-02-08,EU,Paid Search,1123.42,3783
2023-02-08,EU,Social,848.13,4272
2023-02-08,EU,Email,290.55,726
2023-02-08,EU,Affiliate,323.82,929
2023-02-08,EU,Direct,99.19,122
2023-02-08,NA,Paid Search,1025.49,2038
2023-02-08,NA,Social,802.89,3046
2023-02-08,NA,Email,224.69,390
2023-02-08,NA,Affiliate,313.77,781
2023-02-08,NA,Direct,65.17,104
2023-02-08,APAC,Paid Search,291.44,934
2023-02-08,APAC,Social,674.46,2448
2023-02-08,APAC,Email,237.82,346
2023-02-08,APAC,Affiliate,188.36,365
2023-02-08,APAC,Direct,50.0,100
2023-02-09,EU,Paid Search,1210.02,3216
2023-02-09,EU,Social,778.52,2323
2023-02-09,EU,Email,286.96,469
2023-02-09,EU,Affiliate,436.78,1373
2023-02-09,EU,Direct,67.11,100
2023-02-09,NA,Paid Search,917.01,2516
2023-02-09,NA,Social,729.74,3208
2023-02-09,NA,Email,256.99,601
2023-02-09,NA,Affiliate,284.95,1031
2023-02-09,NA,Direct,56.91,100
2023-02-09,APAC,Paid Search,714.96,3142
2023-02-09,APAC,Social,805.08,4166
2023-02-09,APAC,Email,245.44,491
2023-02-09,APAC,Affiliate,88.41,330
2023-02-09,APAC,Direct,66.17,117
2023-02-10,EU,Paid Search,1057.25,4150
2023-02-10,EU,Social,995.19,3599
2023-02-10,EU,Email,302.01,604
2023-02-10,EU,Affiliate,391.09,1241
2023-02-10,EU,Direct,110.65,144
2023-02-10,NA,Paid Search,963.64,3445
2023-02-10,NA,Social,742.16,2341
2023-02-10,NA,Email,252.72,629
2023-02-10,NA,Affiliate,288.66,628
2023-02-10,NA,Direct,88.68,114
2023-02-10,APAC,Paid Search,514.95,1807
2023-02-10,APAC,Social,403.48,1225
2023-02-10,APAC,Email,230.59,462
2023-02-10,APAC,Affiliate,179.46,480
2023-02-10,APAC,Direct,101.78,148
2023-02-11,EU,Paid Search,1072.95,2886
2023-02-11,EU,Social,830.11,2615
2023-02-11,EU,Email,205.45,428
2023-02-11,EU,Affiliate,284.49,892
2023-02-11,EU,Direct,118.75,199
2023-02-11,NA,Paid Search,658.93,1926
2023-02-11,NA,Social,547.94,2260
2023-02-11,NA,Email,253.93,358
2023-02-11,NA,Affiliate,315.16,1162
2023-02-11,NA,Direct,79.16,105
2023-02-11,APAC,Paid Search,964.64,4229
2023-02-11,APAC,Social,588.97,2331
2023-02-11,APAC,Email,204.16,531
2023-02-11,APAC,Affiliate,204.38,662
2023-02-11,APAC,Direct,86.24,157
2023-02-12,EU,Paid Search,717.5,2557
2023-02-12,EU,Social,928.66,4519
2023-02-12,EU,Email,343.03,525
2023-02-12,EU,Affiliate,344.92,1130
2023-02-12,EU,Direct,96.48,199
2023-02-12,NA,Paid Search,734.77,3134
2023-02-12,NA,Social,763.0,3005
2023-02-12,NA,Email,246.68,530
2023-02-12,NA,Affiliate,200.23,608
2023-02-12,NA,Direct,86.84,156
2023-02-12,APAC,Paid Search,805.5,3113
2023-02-12,APAC,Social,639.96,2856
2023-02-12,APAC,Email,197.52,415
2023-02-12,APAC,Affiliate,307.02,780
2023-02-12,APAC,Direct,55.55,100
2023-02-13,EU,Paid Search,1048.25,3089
2023-02-13,EU,Social,844.4,3728
2023-02-13,EU,Email,341.24,580
2023-02-13,EU,Affiliate,352.65,1503
2023-02-13,EU,Direct,78.72,131
2023-02-13,NA,Paid Search,719.78,2647
2023-02-13,NA,Social,689.29,3255
2023-02-13,NA,Email,226.44,514
2023-02-13,NA,Affiliate,340.82,1434
2023-02-13,NA,Direct,65.86,100
2023-02-13,APAC,Paid Search,754.42,2947
