return_id,order_id,return_date,reason_code,refund_amount
95,1529,2023-01-19,Damaged,73.75
96,1544,2023-01-23,Changed Mind,31.65
97,1556,2023-01-26,Wrong Size,11.14
98,1563,2023-01-13,Wrong Size,78.81
99,1565,2023-01-15,Changed Mind,60.64
100,1573,2023-01-13,Wrong Size,116.76
101,1590,2023-01-18,Damaged,77.19
102,1615,2023-01-21,Not as Described,59.0
103,1625,2023-01-18,Late Delivery,89.86
104,1637,2023-01-25,Damaged,63.29
105,1652,2023-01-15,Wrong Size,67.94
106,1653,2023-01-13,Wrong Size,76.97
107,1654,2023-01-07,Damaged,101.3
108,1656,2023-01-20,Late Delivery,84.25
109,1657,2023-01-11,Damaged,112.77
110,1695,2023-01-23,Wrong Size,52.94
111,1702,2023-01-23,Changed Mind,65.7
112,1733,2023-01-23,Wrong Size,156.17
113,1737,2023-01-17,Wrong Size,15.75
114,1744,2023-01-18,Wrong Size,165.9
115,1759,2023-01-20,Late Delivery,49.13
116,1777,2023-01-24,Damaged,13.8
117,1780,2023-01-25,Damaged,68.84
118,1792,2023-01-17,Wrong Size,42.33
119,1795,2023-01-10,Damaged,19.92
120,1805,2023-01-18,Not as Described,71.37
121,1811,2023-01-23,Wrong Size,113.12
122,1815,2023-01-28,Changed Mind,36.73
123,1831,2023-01-16,Wrong Size,136.25
124,1865,2023-01-28,Wrong Size,86.61
125,1900,2023-01-22,Wrong Size,117.41
126,1909,2023-01-14,Wrong Size,34.95
127,1940,2023-01-15,Not as Described,90.89
128,1941,2023-01-22,Damaged,100.67
129,1960,2023-01-22,Wrong Size,61.4
130,1962,2023-01-10,Wrong Size,34.89
131,1973,2023-01-13,Wrong Size,109.73
132,1983,2023-01-16,Wrong Size,86.95
133,2000,2023-01-10,Wrong Size,41.52
134,2020,2023-01-15,Changed Mind,210.0
135,2030,2023-01-08,Not as Described,48.42
136,2055,2023-01-27,Wrong Size,43.46
137,2063,2023-01-28,Wrong Size,25.49
138,2067,2023-01-13,Wrong Size,12.34
139,2074,2023-01-27,Not as Described,39.87
140,2095,2023-01-11,Wrong Size,61.22
141,2124,2023-01-25,Damaged,82.39
142,2129,2023-02-03,Late Delivery,146.0
143,2133,2023-01-14,Wrong Size,119.93
144,2136,2023-01-12,Not as Described,99.04
145,2143,2023-01-17,Late Delivery,55.31
146,2152,2023-01-17,Not as Described,69.61
147,2158,2023-01-12,Wrong Size,27.68
148,2173,2023-01-16,Wrong Size,41.85
149,2174,2023-01-12,Not as Described,22.43
150,2206,2023-01-13,Not as Described,63.3
151,2209,2023-01-26,Changed Mind,100.85
152,2233,2023-01-26,Wrong Size,38.96
153,2248,2023-01-26,Wrong Size,122.15
154,2288,2023-01-22,Not as Described,213.27
155,2289,2023-01-12,Late Delivery,23.53
156,2321,2023-01-22,Wrong Size,111.32
157,2359,2023-01-26,Not as Described,66.62
158,2368,2023-01-16,Changed Mind,68.66
159,2376,2023-01-11,Not as Described,86.08
160,2410,2023-01-19,Not as Described,32.81
161,2423,2023-01-20,Late Delivery,106.13
162,2440,2023-01-15,Changed Mind,47.19
163,2463,2023-01-20,Not as Described,72.53
164,2467,2023-01-22,Damaged,117.14
165,2473,2023-01-24,Not as Described,93.0
166,2482,2023-01-09,Damaged,127.42
167,2484,2023-01-27,Damaged,25.6
168,2487,2023-01-28,Late Delivery,134.63
169,2495,2023-01-21,Wrong Size,55.27
170,2503,2023-01-16,Damaged,53.78
171,2515,2023-01-22,Damaged,33.75
172,2516,2023-01-12,Wrong Size,81.48
173,2534,2023-01-27,Damaged,86.56
174,2548,2023-01-13,Wrong Size,44.15
175,2551,2023-01-23,Not as Described,424.08
176,2588,2023-01-27,Wrong Size,83.89
177,2605,2023-02-02,Not as Described,48.49
178,2621,2023-01-19,Not as Described,92.58
179,2628,2023-01-27,Late Delivery,202.16
180,2638,2023-01-20,Damaged,53.31
181,2646,2023-01-24,Not as Described,208.54
182,2659,2023-01-12,Changed Mind,19.44
183,2668,2023-01-18,Damaged,25.8
184,2671,2023-01-28,Wrong Size,52.83
185,2686,2023-01-14,Not as Described,49.98
186,2687,2023-01-18,Wrong Size,171.52
187,2723,2023-01-19,Damaged,68.99
188,2729,2023-01-25,Wrong Size,65.56
189,2739,2023-01-21,Wrong Size,26.62
190,2744,2023-01-13,Not as Described,55.0
191,2764,2023-01-25,Changed Mind,54.9
192,2797,2023-01-13,Wrong Size,9.71
193,2827,2023-01-14,Wrong Size,31.0
194,2829,2023-01-20,Changed Mind,52.15
195,2861,2023-01-22,Wrong Size,125.54
196,2887,2023-02-01,Wrong Size,13.9
197,2919,2023-01-17,Wrong Size,57.07
198,2926,2023-01-24,Wrong Size,161.75
199,2928,2023-01-25,Wrong Size,21.7
200,2936,2023-01-13,Damaged,13.63
201,2978,2023-01-17,Late Delivery,157.43
202,2995,2023-01-14,Wrong Size,18.72
203,2996,2023-01-13,Wrong Size,35.45
204,3002,2023-01-21,Changed Mind,90.85
205,3012,2023-01-28,Changed Mind,45.58
206,3013,2023-01-20,Not as Described,141.9
207,3021,2023-01-14,Changed Mind,56.8
208,3054,2023-01-12,Wrong Size,34.21
209,3061,2023-01-28,Wrong Size,39.76
210,3082,2023-01-26,Late Delivery,110.2
211,3090,2023-01-16,Wrong Size,26.37
212,3103,2023-01-29,Wrong Size,41.82
213,3146,2023-01-28,Not as Described,58.7
214,3168,2023-01-13,Wrong Size,63.33
215,3175,2023-01-25,Wrong Size,79.92
216,3195,2023-01-29,Wrong Size,64.9
217,3221,2023-01-22,Not as Described,83.05
218,3223,2023-01-14,Wrong Size,56.52
219,3236,2023-01-15,Late Delivery,98.84
220,3278,2023-01-15,Wrong Size,50.49
221,3282,2023-01-19,Late Delivery,43.02
222,3293,2023-01-22,Late Delivery,57.38
223,3311,2023-01-18,Wrong Size,212.88
224,3334,2023-01-23,Changed Mind,24.4
225,3348,2023-01-31,Wrong Size,50.18
226,3413,2023-02-05,Late Delivery,52.52
227,3426,2023-01-19,Not as Described,20.34
228,3430,2023-01-31,Wrong Size,24.52
229,3451,2023-01-31,Not as Described,64.79
230,3469,2023-01-23,Damaged,132.82
231,3473,2023-01-23,Wrong Size,60.54
232,3478,2023-01-19,Wrong Size,73.36
233,3484,2023-01-21,Damaged,41.79
234,3488,2023-01-23,Not as Described,35.14
235,3502,2023-01-15,Changed Mind,69.71
236,3516,2023-01-25,Wrong Size,143.6
237,3524,2023-01-16,Damaged,83.97
238,3530,2023-01-18,Not as Described,75.0
239,3536,2023-01-23,Late Delivery,283.63
240,3592,2023-01-19,Not as Described,106.01
241,3593,2023-01-21,Changed Mind,61.51
242,3596,2023-01-27,Late Delivery,42.03
243,3650,2023-01-24,Wrong Size,48.4
244,3654,2023-01-27,Late Delivery,76.46
245,3687,2023-01-22,Wrong Size,15.66
246,3691,2023-01-31,Not as Described,75.18
247,3717,2023-01-26,Damaged,167.0
248,3759,2023-01-26,Wrong Size,71.1
249,3795,2023-01-29,Wrong Size,42.37
250,3816,2023-01-21,Late Delivery,99.83
251,3817,2023-01-27,Wrong Size,57.86
252,3822,2023-01-30,Damaged,124.89
253,3823,2023-01-11,Wrong Size,98.69
254,3835,2023-01-08,Not as Described,93.72
255,3864,2023-01-12,Changed Mind,23.1
256,3873,2023-01-22,Changed Mind,202.25
257,3880,2023-01-16,Changed Mind,11.55
258,3884,2023-01-27,Damaged,34.22
259,3898,2023-01-26,Changed Mind,13.8
260,3902,2023-01-22,Wrong Size,182.56
261,3963,2023-01-27,Changed Mind,9.56
262,3964,2023-02-02,Changed Mind,56.81
263,3971,2023-01-22,Not as Described,43.18
264,3989,2023-01-13,Damaged,135.78
265,3995,2023-01-24,Changed Mind,101.47
266,4012,2023-01-26,Damaged,52.19
267,4018,2023-01-23,Wrong Size,20.69
268,4024,2023-01-21,Wrong Size,51.06
269,4034,2023-01-20,Damaged,62.71
270,4081,2023-02-02,Changed Mind,60.62
271,4091,2023-01-15,Wrong Size,65.18
272,4122,2023-01-23,Wrong Size,139.27
273,4127,2023-01-22,Wrong Size,75.44
274,4158,2023-01-16,Damaged,141.72
275,4173,2023-01-24,Wrong Size,49.49
276,4192,2023-01-19,Wrong Size,60.1
277,4196,2023-01-17,Wrong Size,38.07
278,4217,2023-01-23,Changed Mind,45.83
279,4254,2023-01-21,Changed Mind,58.85
280,4259,2023-01-16,Wrong Size,38.04
281,4279,2023-01-18,Changed Mind,43.21
282,4330,2023-01-22,Late Delivery,126.49
283,4336,2023-01-22,Changed Mind,24.05
284,4349,2023-01-25,Not as Described,175.43
285,4358,2023-01-16,Wrong Size,92.86
286,4360,2023-01-14,Wrong Size,75.42
287,4367,2023-01-28,Wrong Size,86.88
288,4369,2023-01-18,Wrong Size,98.31
289,4377,2023-01-26,Wrong Size,50.0
290,4463,2023-01-19,Not as Described,74.77
291,4477,2023-01-19,Wrong Size,79.91
292,4487,2023-01-13,Late Delivery,93.56
293,4490,2023-01-19,Damaged,117.36
294,4508,2023-01-20,Changed Mind,35.06
295,4514,2023-01-30,Not as Described,69.63
296,4517,2023-01-23,Wrong Size,51.14
297,4543,2023-01-17,Wrong Size,73.64
298,4576,2023-01-16,Wrong Size,25.89
299,4581,2023-01-31,Wrong Size,253.56
300,4601,2023-02-01,Changed Mind,16.57
301,4604,2023-01-29,Changed Mind,61.76
302,4619,2023-02-01,Damaged,116.35
303,4621,2023-02-02,Wrong Size,65.18
304,4648,2023-01-19,Not as Described,59.91
305,4653,2023-01-18,Wrong Size,60.38
306,4654,2023-01-23,Not as Described,109.82
307,4662,2023-01-19,Changed Mind,42.08
308,4673,2023-01-24,Wrong Size,46.9
309,4679,2023-01-31,Damaged,28.3
310,4769,2023-01-17,Damaged,103.41
311,4770,2023-02-08,Wrong Size,224.74
312,4786,2023-01-27,Not as Described,102.96
313,4798,2023-02-01,Damaged,92.78
314,4817,2023-02-02,Wrong Size,55.25
315,4882,2023-01-19,Wrong Size,88.83
316,4897,2023-01-26,Damaged,63.35
317,4914,2023-02-02,Damaged,44.45
318,4935,2023-01-19,Wrong Size,55.11
319,4991,2023-01-20,Changed Mind,156.94
320,5000,2023-01-15,Changed Mind,15.45
321,5004,2023-01-19,Damaged,28.31
322,5017,2023-01-15,Late Delivery,28.43
323,5020,2023-01-21,Damaged,26.44
324,5052,2023-01-18,Wrong Size,47.7
325,5070,2023-01-15,Damaged,28.86
326,5085,2023-01-23,Not as Described,23.15
327,5091,2023-01-28,Wrong Size,102.73
328,5112,2023-02-02,Late Delivery,32.6
329,5134,2023-01-14,Wrong Size,56.82
330,5150,2023-01-31,Late Delivery,23.42
331,5152,2023-01-20,Changed Mind,124.75
332,5173,2023-02-01,Not as Described,257.08
333,5177,2023-01-22,Damaged,123.44
334,5178,2023-01-24,Wrong Size,45.67
335,5182,2023-01-14,Wrong Size,97.57
336,5183,2023-01-22,Damaged,31.33
337,5194,2023-01-16,Not as Described,86.77
338,5200,2023-01-26,Wrong Size,32.72
339,5306,2023-01-30,Not as Described,196.46
340,5339,2023-01-23,Damaged,51.31
341,5349,2023-01-16,Wrong Size,77.12
342,5378,2023-02-05,Not as Described,116.07
343,5393,2023-02-05,Damaged,41.46
344,5397,2023-02-01,Wrong Size,89.92
345,5432,2023-02-01,Not as Described,13.54
346,5440,2023-02-02,Damaged,114.23
347,5459,2023-01-20,Damaged,59.71
348,5490,2023-01-25,Not as Described,79.73
349,5518,2023-01-26,Damaged,43.48
350,5519,2023-01-28,Damaged,71.24
351,5533,2023-01-30,Late Delivery,30.57
352,5563,2023-01-20,Wrong Size,151.66
353,5602,2023-01-27,Not as Described,37.99
354,5606,2023-01-29,Changed Mind,76.97
355,5616,2023-01-22,Wrong Size,106.65
356,5617,2023-01-16,Wrong Size,34.78
357,5625,2023-01-27,Wrong Size,55.74
358,5634,2023-01-15,Damaged,35.55
359,5637,2023-02-06,Damaged,10.11
360,5676,2023-01-19,Wrong Size,16.09
361,5685,2023-02-02,Late Delivery,76.0
362,5724,2023-01-31,Wrong Size,138.11
363,5728,2023-01-28,Not as Described,71.29
364,5735,2023-01-31,Not as Described,29.48
365,5757,2023-01-15,Not as Described,79.86
366,5762,2023-01-31,Late Delivery,46.09
367,5770,2023-01-28,Not as Described,76.53
368,5784,2023-01-20,Late Delivery,27.74
369,5801,2023-01-26,Late Delivery,249.0
370,5806,2023-01-27,Not as Described,58.01
371,5821,2023-01-29,Changed Mind,26.65
372,5847,2023-02-02,Damaged,20.22
373,5873,2023-01-20,Not as Described,60.58
374,5891,2023-01-20,Wrong Size,146.42
375,5929,2023-01-19,Damaged,89.83
376,5941,2023-01-20,Damaged,41.3
377,5955,2023-02-03,Not as Described,100.67
378,5972,2023-01-26,Wrong Size,59.64
379,5987,2023-01-25,Wrong Size,39.36
380,6073,2023-01-30,Damaged,75.07
381,6077,2023-01-15,Not as Described,108.6
382,6105,2023-01-27,Wrong Size,43.36
383,6108,2023-01-27,Wrong Size,22.37
384,6113,2023-01-29,Wrong Size,77.99
385,6117,2023-02-02,Wrong Size,56.66
386,6128,2023-01-26,Wrong Size,59.74
387,6129,2023-01-29,Wrong Size,175.4
388,6172,2023-01-16,Damaged,107.88
389,6173,2023-02-04,Wrong Size,26.97
390,6193,2023-01-17,Wrong Size,45.61
391,6210,2023-01-31,Not as Described,43.56
392,6226,2023-01-22,Wrong Size,31.64
393,6247,2023-01-23,Wrong Size,117.19
394,6254,2023-01-21,Damaged,187.66
395,6265,2023-01-20,Wrong Size,134.21
396,6266,2023-01-25,Wrong Size,7.33
397,6312,2023-01-29,Changed Mind,46.76
398,6331,2023-01-17,Wrong Size,110.35
399,6336,2023-01-30,Wrong Size,134.41
400,6346,2023-01-27,Late Delivery,90.85
401,6347,2023-02-03,Late Delivery,42.61
402,6357,2023-01-14,Changed Mind,23.95
403,6362,2023-01-13,Not as Described,44.45
404,6368,2023-02-01,Changed Mind,36.1
405,6371,2023-01-27,Wrong Size,67.03
406,6397,2023-02-03,Not as Described,143.09
407,6435,2023-02-02,Damaged,10.99
408,6458,2023-01-18,Damaged,17.74
409,6491,2023-02-02,Not as Described,68.05
410,6527,2023-02-04,Not as Described,29.65
411,6547,2023-01-21,Damaged,28.07
412,6562,2023-01-29,Wrong Size,122.67
413,6572,2023-01-23,Wrong Size,38.68
414,6574,2023-01-31,Damaged,64.98
415,6617,2023-01-17,Not as Described,95.65
416,6618,2023-01-17,Wrong Size,167.83
417,6640,2023-01-29,Not as Described,268.94
418,6645,2023-01-25,Changed Mind,105.97
419,6671,2023-02-03,Wrong Size,44.74
420,6737,2023-01-25,Damaged,211.16
421,6786,2023-01-23,Late Delivery,147.35
422,6819,2023-01-24,Not as Described,136.22
423,6826,2023-01-30,Wrong Size,40.83
424,6832,2023-01-29,Changed Mind,66.43
425,6835,2023-01-19,Late Delivery,302.8
426,6838,2023-01-28,Wrong Size,198.19
427,6868,2023-01-25,Wrong Size,103.87
428,6881,2023-01-27,Wrong Size,83.44
429,6885,2023-01-23,Not as Described,71.45
430,6912,2023-02-04,Damaged,159.64
431,6914,2023-02-03,Wrong Size,42.0
432,6934,2023-01-16,Late Delivery,41.33
433,6935,2023-02-07,Not as Described,40.43
434,6953,2023-02-03,Damaged,47.84
435,6961,2023-01-24,Damaged,47.32
436,6975,2023-01-22,Wrong Size,24.75
437,6976,2023-01-29,Not as Described,60.46
438,6982,2023-01-29,Not as Described,57.98
439,6989,2023-01-24,Changed Mind,115.78
440,6990,2023-02-01,Wrong Size,26.18
441,7016,2023-01-30,Late Delivery,61.13
442,7018,2023-01-28,Wrong Size,94.1
443,7027,2023-01-24,Damaged,95.14
444,7038,2023-02-04,Not as Described,115.29
445,7039,2023-02-02,Wrong Size,176.71
446,7040,2023-01-22,Damaged,31.34
447,7044,2023-01-19,Damaged,56.04
448,7049,2023-01-23,Late Delivery,42.07
449,7091,2023-01-31,Late Delivery,37.44
450,7097,2023-01-25,Damaged,138.27
451,7107,2023-01-23,Late Delivery,139.15
452,7114,2023-01-27,Damaged,65.37
453,7124,2023-01-27,Wrong Size,13.41
454,7127,2023-02-03,Changed Mind,51.6
455,7160,2023-02-02,Changed Mind,66.04
456,7172,2023-01-31,Not as Described,31.53
457,7175,2023-01-23,Wrong Size,80.6
458,7188,2023-01-29,Damaged,101.98
459,7223,2023-02-03,Wrong Size,111.81
460,7224,2023-01-31,Wrong Size,41.23
461,7226,2023-01-15,Wrong Size,73.15
462,7257,2023-02-08,Changed Mind,79.13
463,7260,2023-02-01,Not as Described,262.93
464,7265,2023-02-02,Changed Mind,45.63
465,7267,2023-01-22,Late Delivery,89.57
466,7282,2023-02-06,Changed Mind,77.08
467,7284,2023-02-10,Damaged,78.26
468,7285,2023-01-20,Wrong Size,12.79
469,7297,2023-02-06,Wrong Size,52.83
470,7303,2023-02-01,Late Delivery,151.31
471,7306,2023-01-18,Damaged,17.9
472,7309,2023-01-20,Changed Mind,57.3
473,7320,2023-01-23,Damaged,22.65
474,7376,2023-01-31,Damaged,35.91
475,7380,2023-01-22,Damaged,78.81
476,7411,2023-01-23,Changed Mind,36.59
477,7429,2023-02-04,Not as Described,142.48
478,7436,2023-02-06,Wrong Size,63.27
479,7441,2023-01-21,Wrong Size,17.82
480,7457,2023-02-02,Damaged,19.35
481,7467,2023-01-30,Damaged,51.26
482,7492,2023-01-28,Wrong Size,45.57
483,7506,2023-01-24,Changed Mind,38.51
484,7534,2023-01-18,Wrong Size,32.74
485,7545,2023-02-03,Changed Mind,101.71
486,7555,2023-01-31,Wrong Size,73.41
487,7557,2023-01-24,Not as Described,59.82
488,7566,2023-01-20,Changed Mind,49.26
489,7576,2023-01-30,Changed Mind,25.69
490,7638,2023-02-01,Late Delivery,73.85
491,7674,2023-01-22,Wrong Size,47.02
492,7679,2023-01-25,Late Delivery,129.54
493,7691,2023-01-21,Damaged,36.07
494,7698,2023-01-19,Damaged,71.31
495,7704,2023-01-25,Not as Described,81.47
496,7742,2023-01-25,Damaged,38.53
497,7760,2023-01-20,Not as Described,92.51
498,7779,2023-02-07,Damaged,54.71
499,7796,2023-02-05,Not as Described,64.08
500,7806,2023-02-05,Not as Described,80.37
501,7818,2023-02-01,Wrong Size,152.73
502,7824,2023-01-21,Not as Described,53.97
503,7853,2023-01-21,Damaged,96.47
504,7855,2023-01-30,Not as Described,9.52
505,7861,2023-02-08,Changed Mind,31.57
506,7870,2023-01-16,Wrong Size,21.71
507,7871,2023-01-17,Wrong Size,44.13
508,7877,2023-01-30,Wrong Size,68.38
509,7886,2023-01-26,Wrong Size,193.52
510,7892,2023-01-31,Not as Described,168.59
511,7934,2023-01-30,Changed Mind,30.91
512,7969,2023-02-03,Wrong Size,445.28
513,7976,2023-01-28,Not as Described,19.54
514,7984,2023-01-31,Damaged,62.05
515,7986,2023-02-02,Wrong Size,127.0
516,7991,2023-02-10,Not as Described,55.12
517,8016,2023-01-20,Damaged,82.6
518,8020,2023-01-25,Damaged,83.09
519,8043,2023-01-31,Late Delivery,69.71
520,8058,2023-01-20,Not as Described,16.4
521,8060,2023-01-29,Not as Described,105.12
522,8063,2023-01-28,Wrong Size,17.69
523,8077,2023-01-21,Wrong Size,121.66
524,8086,2023-02-05,Wrong Size,211.13
525,8096,2023-02-02,Wrong Size,22.39
526,8121,2023-02-06,Damaged,179.84
527,8123,2023-02-06,Not as Described,96.95
528,8129,2023-01-29,Not as Described,138.25
529,8143,2023-02-01,Not as Described,118.74
530,8165,2023-01-30,Late Delivery,94.96
531,8225,2023-01-21,Wrong Size,74.61
532,8229,2023-02-02,Wrong Size,45.81
533,8239,2023-01-19,Changed Mind,50.42
534,8244,2023-01-24,Changed Mind,90.45
535,8256,2023-01-29,Changed Mind,50.61
536,8299,2023-02-04,Late Delivery,35.27
537,8300,2023-01-23,Not as Described,112.85
538,8302,2023-01-27,Not as Described,151.58
539,8305,2023-01-23,Not as Described,23.38
540,8307,2023-01-30,Not as Described,46.19
541,8352,2023-01-21,Changed Mind,238.01
542,8369,2023-01-19,Wrong Size,10.26
543,8375,2023-02-05,Damaged,42.71
544,8379,2023-01-19,Changed Mind,64.19
545,8386,2023-02-06,Wrong Size,7.67
546,8419,2023-02-08,Late Delivery,52.92
547,8421,2023-01-31,Not as Described,26.78
548,8444,2023-02-04,Changed Mind,42.94
549,8446,2023-01-20,Wrong Size,28.93
550,8472,2023-01-22,Wrong Size,72.1
551,8492,2023-01-23,Changed Mind,105.91
552,8508,2023-02-06,Not as Described,144.72
553,8519,2023-01-28,Late Delivery,114.95
554,8531,2023-01-27,Not as Described,184.27
555,8532,2023-01-23,Wrong Size,94.08
556,8543,2023-01-23,Changed Mind,11.46
557,8608,2023-01-30,Damaged,96.02
558,8609,2023-01-19,Wrong Size,55.49
559,8658,2023-02-07,Late Delivery,64.24
560,8660,2023-01-19,Not as Described,29.1
561,8701,2023-02-02,Wrong Size,175.19
562,8710,2023-02-07,Late Delivery,94.9
563,8741,2023-02-05,Damaged,69.67
564,8752,2023-01-30,Wrong Size,75.13
565,8759,2023-02-15,Wrong Size,69.18
566,8761,2023-02-09,Wrong Size,26.62
567,8775,2023-02-01,Wrong Size,58.84
568,8781,2023-02-03,Damaged,44.44
569,8782,2023-02-08,Damaged,15.18
570,8830,2023-01-18,Not as Described,18.63
571,8853,2023-01-20,Wrong Size,126.7
572,8883,2023-02-01,Wrong Size,35.18
573,8892,2023-02-08,Changed Mind,77.72
574,8907,2023-01-22,Not as Described,32.39
575,8913,2023-01-24,Damaged,81.15
576,8919,2023-01-30,Changed Mind,74.89
577,8948,2023-01-28,Changed Mind,115.84
578,8960,2023-01-29,Wrong Size,42.82
579,8965,2023-02-02,Damaged,40.79
580,8982,2023-01-22,Wrong Size,85.32
581,8991,2023-02-09,Late Delivery,14.3
582,8992,2023-01-25,Damaged,130.51
583,8994,2023-01-26,Damaged,81.06
584,9004,2023-01-22,Not as Described,61.88
585,9009,2023-02-03,Damaged,34.39
586,9011,2023-02-02,Not as Described,129.98
587,9038,2023-02-04,Not as Described,24.93
588,9044,2023-02-07,Wrong Size,147.61
589,9048,2023-01-28,Not as Described,104.79
590,9049,2023-02-05,Changed Mind,95.62
591,9076,2023-01-17,Wrong Size,69.37
592,9099,2023-02-01,Not as Described,25.42
593,9184,2023-01-24,Damaged,154.94
594,9188,2023-02-08,Not as Described,31.19
595,9208,2023-02-05,Not as Described,11.71
596,9229,2023-02-06,Changed Mind,16.35
597,9232,2023-01-30,Damaged,87.46
598,9240,2023-02-04,Damaged,62.83
599,9252,2023-01-26,Wrong Size,49.58
600,9257,2023-02-06,Wrong Size,92.1
601,9270,2023-01-28,Wrong Size,76.58
602,9279,2023-02-03,Changed Mind,25.76
603,9294,2023-01-30,Not as Described,20.7
604,9295,2023-01-29,Wrong Size,19.64
605,9298,2023-02-01,Changed Mind,16.88
606,9332,2023-01-20,Not as Described,35.5
607,9333,2023-01-28,Wrong Size,100.48
608,9360,2023-01-31,Wrong Size,268.7
609,9380,2023-02-07,Not as Described,70.16
610,9387,2023-01-30,Changed Mind,76.3
611,9411,2023-01-26,Changed Mind,67.03
612,9449,2023-01-24,Wrong Size,93.35
613,9487,2023-01-17,Changed Mind,29.1
614,9495,2023-02-03,Wrong Size,56.15
615,9499,2023-01-28,Late Delivery,28.98
616,9509,2023-02-01,Damaged,56.14
617,9595,2023-01-27,Not as Described,45.92
618,9607,2023-02-08,Damaged,69.85
619,9618,2023-02-06,Wrong Size,73.04
620,9621,2023-02-03,Wrong Size,106.86
621,9629,2023-01-29,Damaged,162.94
622,9638,2023-01-22,Damaged,44.98
623,9646,2023-01-22,Damaged,81.62
624,9649,2023-02-02,Not as Described,113.41
625,9650,2023-01-21,Wrong Size,36.26
